,the,to,of,in,and,said,a,s,for,oil,mln,u,on,that,from,at,it,is,by,tonnes
reuters-topics/grain/article044.txt,1,0,0,3,0,0,0,2,0,0,12,1,0,0,0,6,1,2,0,9
reuters-topics/grain/article078.txt,0,2,0,0,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0,2
reuters-topics/grain/article124.txt,17,7,7,1,4,7,6,5,2,0,1,4,0,3,0,0,2,0,0,1
reuters-topics/grain/article130.txt,4,0,2,0,1,1,0,2,0,0,1,2,1,3,0,0,0,0,0,1
reuters-topics/grain/article118.txt,5,5,0,0,7,3,0,0,3,0,0,0,0,0,3,1,0,0,4,0
reuters-topics/grain/article483.txt,5,5,3,2,2,3,0,1,1,0,0,0,2,1,0,1,0,0,1,0
reuters-topics/grain/article497.txt,27,37,10,20,21,1,7,4,7,0,19,0,2,2,2,3,1,5,0,11
reuters-topics/grain/article440.txt,11,11,10,4,4,1,6,1,10,0,0,1,0,0,0,5,0,0,0,5
reuters-topics/grain/article326.txt,8,7,0,2,0,5,2,1,2,0,0,1,0,3,1,0,1,0,0,0
reuters-topics/grain/article332.txt,4,1,4,0,6,1,2,1,4,0,0,0,0,0,0,1,0,0,0,4
reuters-topics/grain/article454.txt,1,5,0,0,5,0,6,1,0,0,11,0,0,0,3,1,0,1,0,0
reuters-topics/grain/article468.txt,7,3,0,5,2,3,5,5,2,0,5,2,1,2,0,1,0,0,0,5
reuters-topics/grain/article469.txt,1,2,2,2,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1
reuters-topics/grain/article333.txt,15,3,6,5,4,5,4,2,6,1,0,0,1,0,2,0,3,3,2,0
reuters-topics/grain/article455.txt,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0
reuters-topics/grain/article441.txt,0,2,0,0,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0,2
reuters-topics/grain/article327.txt,4,2,5,0,2,1,1,4,0,0,0,3,0,0,0,2,0,0,0,3
reuters-topics/grain/article496.txt,17,11,5,3,2,3,3,6,2,0,0,4,2,6,0,3,4,4,0,0
reuters-topics/grain/article482.txt,9,1,4,6,6,6,2,6,4,0,0,1,0,0,0,2,0,1,3,0
reuters-topics/grain/article119.txt,7,3,3,3,2,1,3,1,1,0,0,0,2,0,0,2,0,0,0,0
reuters-topics/grain/article131.txt,24,18,12,1,12,8,3,4,5,0,0,0,11,6,2,1,0,0,7,6
reuters-topics/grain/article125.txt,5,3,4,2,1,2,2,0,0,0,2,0,0,0,1,0,0,1,0,2
reuters-topics/grain/article079.txt,3,1,5,0,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,3
reuters-topics/grain/article045.txt,12,5,3,9,14,0,36,2,5,4,0,2,3,2,1,0,1,1,3,3
reuters-topics/grain/article051.txt,0,2,0,0,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0,2
reuters-topics/grain/article086.txt,17,7,9,6,5,3,2,2,1,0,0,0,4,1,2,0,1,0,2,0
reuters-topics/grain/article092.txt,3,2,2,1,0,1,0,1,2,0,0,1,0,0,0,0,0,0,0,1
reuters-topics/grain/article509.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
reuters-topics/grain/article247.txt,4,6,4,4,3,1,0,1,1,0,1,1,0,1,0,0,0,0,0,5
reuters-topics/grain/article521.txt,12,4,5,3,0,1,1,0,3,0,4,0,0,0,0,1,0,1,0,6
reuters-topics/grain/article535.txt,14,10,7,8,8,3,4,1,4,0,7,0,2,1,3,4,0,4,1,0
reuters-topics/grain/article253.txt,9,2,9,4,3,4,6,7,3,0,0,0,3,1,0,3,0,0,2,0
reuters-topics/grain/article284.txt,17,9,10,8,3,5,4,5,4,0,2,5,1,0,2,2,3,0,0,7
reuters-topics/grain/article290.txt,24,8,13,3,5,5,2,3,2,0,0,1,2,4,3,2,5,0,0,6
reuters-topics/grain/article286.txt,0,0,1,0,0,1,0,0,2,0,0,0,2,0,0,0,0,0,0,1
reuters-topics/grain/article292.txt,20,6,4,5,5,3,6,2,2,0,0,2,3,5,1,1,0,0,4,0
reuters-topics/grain/article523.txt,19,10,6,8,8,9,3,2,3,0,0,1,1,10,0,2,0,3,3,0
reuters-topics/grain/article245.txt,2,1,3,0,4,1,0,1,3,0,0,0,0,0,0,1,0,0,0,3
reuters-topics/grain/article251.txt,3,2,2,1,0,2,0,2,2,0,0,2,0,0,0,0,1,0,0,1
reuters-topics/grain/article537.txt,3,5,2,1,2,2,0,0,0,0,0,0,0,1,0,1,4,2,1,0
reuters-topics/grain/article279.txt,5,3,5,1,0,2,2,2,2,0,0,1,1,0,0,2,0,0,0,3
reuters-topics/grain/article084.txt,9,6,10,5,5,6,4,1,1,0,3,0,0,0,8,0,4,1,0,1
reuters-topics/grain/article090.txt,11,6,1,1,2,3,0,1,3,0,7,1,0,0,1,0,1,1,3,0
reuters-topics/grain/article047.txt,4,2,4,25,7,0,3,3,9,3,29,3,4,0,0,0,0,1,1,2
reuters-topics/grain/article053.txt,2,7,0,7,14,0,0,1,0,1,3,1,1,0,0,0,0,0,1,2
reuters-topics/grain/article133.txt,10,2,2,3,1,4,2,1,0,0,1,0,0,0,0,2,0,2,1,0
reuters-topics/grain/article127.txt,26,12,11,5,2,9,9,9,6,0,0,5,2,10,2,2,7,1,0,0
reuters-topics/grain/article494.txt,21,13,10,4,7,4,1,4,3,0,0,3,0,2,1,0,0,4,0,0
reuters-topics/grain/article480.txt,14,5,6,2,4,4,2,1,0,0,0,0,0,0,0,2,0,3,2,0
reuters-topics/grain/article457.txt,14,8,2,0,2,3,4,2,0,0,0,2,3,0,0,1,1,0,0,0
reuters-topics/grain/article331.txt,8,5,4,1,1,4,2,1,2,0,0,1,2,0,1,0,2,1,0,2
reuters-topics/grain/article325.txt,9,3,4,6,3,4,5,3,0,0,5,0,0,2,2,0,2,2,2,1
reuters-topics/grain/article443.txt,4,2,3,1,2,2,0,2,5,0,4,2,0,0,0,0,1,3,0,2
reuters-topics/grain/article319.txt,0,0,2,0,2,1,0,2,3,0,0,2,0,0,0,0,0,0,0,0
reuters-topics/grain/article318.txt,23,16,8,4,3,9,6,8,0,0,1,4,1,8,1,1,2,2,3,1
reuters-topics/grain/article324.txt,6,1,1,5,1,2,1,1,1,0,5,0,1,0,1,0,0,0,0,5
reuters-topics/grain/article442.txt,8,3,8,4,2,2,4,2,1,0,1,2,3,2,0,1,0,0,1,0
reuters-topics/grain/article456.txt,7,1,8,2,4,4,4,0,2,0,3,0,1,0,0,0,1,0,0,0
reuters-topics/grain/article330.txt,9,5,4,1,2,4,0,1,1,0,0,1,1,0,1,0,1,0,0,4
reuters-topics/grain/article481.txt,18,7,11,9,3,11,2,8,6,0,2,4,2,0,3,0,4,4,3,0
reuters-topics/grain/article495.txt,2,2,1,0,3,1,0,3,0,0,1,3,0,0,1,1,2,0,1,1
reuters-topics/grain/article126.txt,4,1,2,1,2,3,1,1,2,0,0,0,1,0,0,1,1,1,0,0
reuters-topics/grain/article132.txt,4,4,1,0,3,4,0,1,5,0,0,0,0,0,5,0,2,0,0,0
reuters-topics/grain/article052.txt,0,2,0,0,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0,2
reuters-topics/grain/article046.txt,3,0,0,2,0,0,0,2,0,0,11,1,0,0,0,6,1,2,0,9
reuters-topics/grain/article091.txt,0,2,2,0,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0,2
reuters-topics/grain/article085.txt,15,5,17,14,6,7,3,6,1,0,10,1,0,2,1,3,1,1,0,5
reuters-topics/grain/article278.txt,28,1,7,5,12,8,0,3,7,0,4,3,2,0,0,0,3,0,4,0
reuters-topics/grain/article250.txt,0,2,2,0,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0,2
reuters-topics/grain/article536.txt,8,6,4,10,6,6,4,3,4,0,5,0,1,1,2,0,1,2,2,2
reuters-topics/grain/article522.txt,6,5,7,2,5,1,0,1,0,0,8,1,0,0,1,1,0,1,1,0
reuters-topics/grain/article244.txt,5,4,6,2,1,1,0,1,1,0,3,0,0,0,0,0,0,0,0,2
reuters-topics/grain/article293.txt,15,3,4,7,6,6,0,2,0,0,0,1,0,0,0,0,3,0,0,0
reuters-topics/grain/article287.txt,8,1,5,6,3,4,3,6,1,0,2,5,1,0,2,3,1,2,0,1
reuters-topics/grain/article249.txt,7,3,1,4,1,2,3,3,2,0,0,0,0,1,0,1,1,0,0,0
reuters-topics/grain/article261.txt,30,10,11,8,16,16,14,3,3,0,2,0,3,5,1,1,1,4,2,1
reuters-topics/grain/article507.txt,12,3,9,6,2,0,2,1,4,0,0,1,2,0,0,2,0,1,3,0
reuters-topics/grain/article513.txt,2,2,0,0,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0,2
reuters-topics/grain/article275.txt,10,1,8,9,9,6,3,0,4,0,1,0,1,0,0,1,4,0,1,0
reuters-topics/grain/article088.txt,5,0,0,1,1,2,1,0,6,0,0,0,0,0,0,0,0,0,0,2
reuters-topics/grain/article063.txt,35,3,11,4,15,10,0,3,12,1,1,2,2,0,1,0,3,0,3,11
reuters-topics/grain/article077.txt,8,5,2,1,1,1,0,3,5,0,2,3,0,0,0,0,0,0,1,0
reuters-topics/grain/article117.txt,8,4,3,1,2,3,1,1,1,0,3,1,0,0,0,0,1,0,1,0
reuters-topics/grain/article103.txt,22,8,6,7,12,7,2,4,7,0,0,0,0,2,0,1,1,2,2,0
reuters-topics/grain/article498.txt,0,2,2,2,5,2,0,2,1,0,0,2,0,0,2,0,0,0,0,2
reuters-topics/grain/article329.txt,4,4,1,9,8,0,1,0,2,0,7,2,1,0,4,2,0,0,0,3
reuters-topics/grain/article315.txt,13,3,5,4,3,6,5,4,3,0,0,4,2,4,2,1,1,1,0,0
reuters-topics/grain/article473.txt,11,2,2,10,6,4,0,2,4,0,0,1,0,0,0,0,1,0,0,0
reuters-topics/grain/article467.txt,1,3,0,0,0,2,0,2,4,0,0,2,0,0,1,0,0,1,0,2
reuters-topics/grain/article301.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
reuters-topics/grain/article466.txt,9,6,4,4,2,4,4,1,1,0,2,0,0,1,3,1,0,3,5,8
reuters-topics/grain/article300.txt,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
reuters-topics/grain/article314.txt,24,7,4,5,6,3,4,2,4,0,0,0,3,0,0,1,2,2,1,0
reuters-topics/grain/article472.txt,4,4,5,4,1,2,3,0,1,0,2,0,0,0,2,0,0,1,1,1
reuters-topics/grain/article328.txt,5,11,2,2,1,3,1,3,5,0,0,2,0,5,1,0,0,0,0,0
reuters-topics/grain/article499.txt,0,0,1,0,0,1,0,2,2,0,0,1,2,0,0,0,0,0,0,1
reuters-topics/grain/article102.txt,12,11,2,11,3,4,6,1,2,0,10,0,0,0,9,0,0,0,0,7
reuters-topics/grain/article116.txt,4,0,2,0,2,3,1,0,6,0,0,0,0,0,3,5,1,0,0,4
reuters-topics/grain/article076.txt,3,4,1,1,5,0,1,3,2,0,9,2,0,0,3,0,0,0,0,0
reuters-topics/grain/article062.txt,2,0,0,0,2,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0
reuters-topics/grain/article089.txt,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0
reuters-topics/grain/article512.txt,18,11,14,1,2,3,3,3,3,0,2,1,3,3,5,3,1,0,0,4
reuters-topics/grain/article274.txt,5,2,2,3,2,2,1,0,1,0,2,0,0,0,2,0,2,0,0,8
reuters-topics/grain/article260.txt,30,10,22,13,14,5,5,3,6,0,14,5,1,2,0,2,0,7,4,19
reuters-topics/grain/article506.txt,26,6,4,11,1,5,2,2,5,0,0,2,7,3,2,1,3,3,2,1
reuters-topics/grain/article248.txt,1,0,1,0,1,2,1,0,3,0,0,0,1,0,0,1,0,0,0,2
reuters-topics/grain/article289.txt,4,2,2,3,4,2,2,1,0,0,0,1,2,3,1,1,0,1,0,0
reuters-topics/grain/article538.txt,10,2,10,6,5,1,3,1,1,0,0,0,0,0,2,1,0,1,0,3
reuters-topics/grain/article276.txt,11,5,3,3,5,3,2,2,2,0,1,0,0,5,1,1,1,0,1,0
reuters-topics/grain/article510.txt,2,0,2,0,2,2,0,1,3,0,0,0,0,0,0,3,0,0,0,2
reuters-topics/grain/article504.txt,8,3,1,2,1,2,1,1,0,0,1,0,0,1,0,0,0,0,0,2
reuters-topics/grain/article262.txt,7,2,3,2,1,1,2,0,0,0,0,0,1,0,0,0,0,1,1,0
reuters-topics/grain/article048.txt,2,0,0,0,1,0,0,2,0,0,8,1,0,0,0,4,1,0,0,6
reuters-topics/grain/article074.txt,14,3,6,2,10,8,4,1,1,0,0,1,2,0,0,8,0,0,6,0
reuters-topics/grain/article060.txt,2,0,0,1,0,0,0,2,2,0,1,1,0,0,0,0,0,0,0,1
reuters-topics/grain/article128.txt,2,0,2,0,2,3,0,3,7,0,0,1,0,1,0,0,1,0,0,4
reuters-topics/grain/article100.txt,10,2,0,5,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0
reuters-topics/grain/article114.txt,3,2,3,0,1,1,1,0,2,0,0,0,1,0,0,1,0,1,0,4
reuters-topics/grain/article458.txt,8,1,6,1,2,2,2,3,3,0,4,3,1,0,0,0,0,0,1,3
reuters-topics/grain/article302.txt,8,3,1,3,1,2,1,0,2,0,0,0,0,1,0,1,0,0,0,0
reuters-topics/grain/article464.txt,27,18,19,21,22,17,9,4,4,0,11,0,3,5,2,4,10,5,3,5
reuters-topics/grain/article470.txt,6,3,4,1,3,2,1,2,0,0,0,2,1,0,1,0,0,0,0,0
reuters-topics/grain/article316.txt,26,14,9,5,2,11,2,9,2,0,1,7,1,6,1,8,3,4,2,1
reuters-topics/grain/article471.txt,12,7,7,4,9,4,4,3,4,0,0,2,6,0,1,0,0,3,3,0
reuters-topics/grain/article317.txt,18,9,4,5,2,2,4,1,4,0,0,0,1,1,1,1,0,2,0,0
reuters-topics/grain/article303.txt,0,3,1,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,1
reuters-topics/grain/article465.txt,3,1,1,3,0,2,0,2,1,0,1,0,0,1,0,0,0,0,2,0
reuters-topics/grain/article459.txt,0,2,0,0,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0,2
reuters-topics/grain/article115.txt,4,4,1,5,6,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
reuters-topics/grain/article101.txt,6,3,6,3,4,1,1,0,2,0,4,0,2,0,1,1,0,4,0,0
reuters-topics/grain/article129.txt,1,0,1,0,0,1,0,1,2,0,0,1,0,0,0,0,0,0,0,1
reuters-topics/grain/article061.txt,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
reuters-topics/grain/article075.txt,10,3,2,8,6,6,1,3,1,0,0,1,1,0,1,1,2,0,1,0
reuters-topics/grain/article049.txt,1,3,4,2,2,0,0,1,0,1,0,1,0,0,0,0,0,0,2,3
reuters-topics/grain/article505.txt,62,20,17,17,14,6,11,21,17,0,0,13,3,4,3,3,0,0,5,0
reuters-topics/grain/article263.txt,8,0,1,3,1,1,2,2,0,0,0,2,0,0,2,0,0,0,0,0
reuters-topics/grain/article277.txt,24,7,8,2,4,5,3,1,0,0,0,0,6,5,2,2,2,4,0,0
reuters-topics/grain/article511.txt,38,28,7,8,3,13,14,19,6,0,0,10,6,14,0,4,3,9,2,0
reuters-topics/grain/article539.txt,9,5,1,5,4,2,6,3,1,0,0,2,1,2,0,1,0,0,0,0
reuters-topics/grain/article288.txt,15,11,9,8,3,2,3,0,4,0,1,0,1,3,1,0,0,1,1,0
reuters-topics/grain/article298.txt,8,4,5,2,3,3,1,4,6,1,3,3,0,0,1,1,0,0,2,0
reuters-topics/grain/article515.txt,0,2,0,0,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0,2
reuters-topics/grain/article273.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
reuters-topics/grain/article267.txt,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
reuters-topics/grain/article501.txt,1,0,0,0,0,2,1,1,1,0,0,0,0,0,0,2,0,0,0,0
reuters-topics/grain/article529.txt,38,22,11,14,13,11,8,6,4,0,1,5,4,0,2,0,2,7,5,0
reuters-topics/grain/article071.txt,12,11,8,7,5,7,8,1,3,0,3,0,1,1,1,0,2,1,2,1
reuters-topics/grain/article065.txt,37,15,13,8,14,10,10,11,4,0,1,6,2,6,4,5,4,1,3,1
reuters-topics/grain/article059.txt,10,5,4,1,2,3,2,2,2,0,0,2,0,0,1,0,0,2,0,2
reuters-topics/grain/article105.txt,22,8,6,7,12,7,2,4,7,0,0,0,0,2,0,1,1,2,2,0
reuters-topics/grain/article111.txt,10,3,3,1,2,2,1,1,0,1,0,0,1,1,0,0,0,2,1,0
reuters-topics/grain/article139.txt,9,5,0,1,1,2,3,3,0,0,0,3,1,0,1,0,1,2,0,0
reuters-topics/grain/article461.txt,11,5,6,1,1,3,1,2,1,0,0,2,3,0,1,0,0,1,0,2
reuters-topics/grain/article307.txt,3,4,3,3,1,2,0,2,0,0,0,0,0,1,0,0,0,1,1,0
reuters-topics/grain/article313.txt,9,5,5,3,2,4,3,1,3,0,3,0,1,0,2,4,0,3,1,6
reuters-topics/grain/article475.txt,7,2,4,6,4,4,1,3,0,0,0,1,0,0,0,0,1,0,0,0
reuters-topics/grain/article449.txt,5,2,2,3,2,1,5,3,5,0,0,1,0,3,0,0,3,2,0,0
reuters-topics/grain/article448.txt,24,12,12,4,7,3,2,5,1,0,0,0,4,0,0,0,1,1,2,0
reuters-topics/grain/article312.txt,9,7,2,5,4,2,0,0,0,0,4,0,0,0,0,1,0,0,0,8
reuters-topics/grain/article474.txt,14,7,5,0,2,6,0,4,0,0,0,1,2,2,1,2,0,2,0,0
reuters-topics/grain/article460.txt,4,4,2,1,3,2,4,0,0,0,0,0,0,1,0,1,0,0,2,0
reuters-topics/grain/article306.txt,18,19,9,5,4,6,5,0,8,0,2,0,4,1,1,4,2,1,3,0
reuters-topics/grain/article138.txt,4,0,2,0,2,2,0,1,4,0,0,1,1,1,0,2,0,1,0,2
reuters-topics/grain/article110.txt,10,2,3,1,4,5,3,0,2,0,0,0,1,0,1,2,0,1,1,2
reuters-topics/grain/article104.txt,31,15,9,6,14,10,7,2,7,0,1,2,4,2,3,2,1,4,5,0
reuters-topics/grain/article058.txt,5,3,2,4,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,2
reuters-topics/grain/article064.txt,11,4,8,4,1,0,0,6,1,0,0,5,0,1,0,0,0,0,0,6
reuters-topics/grain/article070.txt,15,3,12,7,2,8,3,0,1,0,3,0,0,1,3,3,0,1,5,4
reuters-topics/grain/article528.txt,9,2,4,13,5,5,4,1,3,4,0,1,0,0,0,0,1,3,1,0
reuters-topics/grain/article266.txt,7,4,4,2,1,2,0,4,1,0,0,3,0,0,1,2,0,0,0,1
reuters-topics/grain/article500.txt,4,3,3,4,3,3,2,1,1,0,1,1,0,1,1,0,1,1,1,1
reuters-topics/grain/article514.txt,0,2,0,0,0,0,0,2,2,0,0,2,0,0,2,0,0,0,0,2
reuters-topics/grain/article272.txt,20,18,20,3,12,7,5,9,18,2,0,7,1,0,1,2,2,2,2,21
reuters-topics/grain/article299.txt,7,0,4,1,0,1,2,1,2,0,0,1,1,0,0,0,0,0,0,0
reuters-topics/grain/article502.txt,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0
reuters-topics/grain/article264.txt,4,5,4,0,0,3,2,1,3,0,0,1,1,0,0,0,1,0,0,2
reuters-topics/grain/article270.txt,7,2,2,6,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2
reuters-topics/grain/article516.txt,16,5,7,2,3,3,0,3,6,0,1,3,0,0,1,0,0,1,0,5
reuters-topics/grain/article258.txt,37,22,16,7,7,12,13,3,4,0,14,0,8,5,3,4,2,9,2,12
reuters-topics/grain/article099.txt,9,5,12,3,1,2,6,9,1,0,0,9,2,1,2,0,0,0,0,3
reuters-topics/grain/article066.txt,0,1,1,0,0,1,0,1,2,0,0,1,0,0,0,0,0,1,0,2
reuters-topics/grain/article072.txt,11,5,3,1,6,7,1,0,3,0,0,0,0,0,6,0,2,0,3,0
reuters-topics/grain/article112.txt,12,3,9,4,6,1,3,0,2,0,1,0,1,1,0,1,0,0,1,1
reuters-topics/grain/article106.txt,3,2,3,1,3,1,1,0,3,0,0,0,0,0,1,0,0,0,1,4
reuters-topics/grain/article489.txt,13,4,2,0,1,0,3,5,0,0,0,4,3,0,0,0,0,1,5,0
reuters-topics/grain/article476.txt,13,5,3,21,11,10,0,3,2,0,0,1,0,0,1,0,6,2,1,0
reuters-topics/grain/article310.txt,12,5,11,8,3,6,3,2,0,0,4,1,0,2,0,0,1,1,0,2
reuters-topics/grain/article304.txt,0,0,2,2,3,2,0,1,6,0,0,1,0,0,0,0,0,0,0,1
reuters-topics/grain/article462.txt,11,4,3,2,1,4,1,5,1,0,0,5,0,0,2,1,1,0,0,2
reuters-topics/grain/article338.txt,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
reuters-topics/grain/article339.txt,2,1,2,0,0,1,1,2,0,0,0,0,0,0,0,2,0,0,0,1
reuters-topics/grain/article305.txt,1,2,3,0,2,2,0,1,4,0,0,1,0,0,0,0,0,0,0,2
reuters-topics/grain/article463.txt,6,5,5,1,2,3,0,1,3,0,2,1,0,0,0,0,1,0,1,0
reuters-topics/grain/article477.txt,35,18,11,8,7,4,6,5,5,0,8,2,2,2,5,1,2,0,6,0
reuters-topics/grain/article311.txt,6,3,2,0,5,2,4,3,0,0,0,2,0,1,3,0,1,0,0,0
reuters-topics/grain/article488.txt,1,6,9,0,10,1,4,8,7,0,0,7,1,0,2,2,0,0,0,7
reuters-topics/grain/article107.txt,3,3,2,0,2,3,1,0,6,0,0,0,0,0,0,1,0,0,0,2
reuters-topics/grain/article113.txt,7,5,3,2,3,5,0,1,3,0,0,0,0,0,0,2,0,0,0,0
reuters-topics/grain/article073.txt,3,1,7,2,4,1,1,1,0,0,0,0,1,0,1,0,0,0,0,6
reuters-topics/grain/article067.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
reuters-topics/grain/article098.txt,10,2,9,6,1,4,3,2,5,0,0,1,2,1,2,0,2,2,3,0
reuters-topics/grain/article259.txt,8,4,3,1,1,2,0,5,6,0,4,4,0,0,0,0,0,0,1,0
reuters-topics/grain/article271.txt,1,1,1,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
reuters-topics/grain/article517.txt,14,10,8,3,11,8,5,12,4,0,0,10,3,2,2,0,0,0,2,0
reuters-topics/grain/article503.txt,8,1,3,2,2,3,0,2,0,0,0,1,0,0,4,1,0,0,0,2
reuters-topics/grain/article265.txt,4,5,4,0,0,3,2,4,2,0,0,3,1,0,0,0,1,0,0,2
reuters-topics/grain/article558.txt,56,23,36,18,12,17,21,5,7,0,5,1,3,8,4,4,4,9,2,0
reuters-topics/grain/article564.txt,0,1,1,0,0,1,1,2,2,0,0,2,0,0,0,1,0,0,1,1
reuters-topics/grain/article202.txt,5,7,3,1,3,2,0,3,4,0,6,3,0,0,2,0,1,0,1,0
reuters-topics/grain/article216.txt,3,1,2,0,5,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0
reuters-topics/grain/article570.txt,35,32,19,14,19,2,6,4,3,0,20,0,2,0,1,7,0,5,3,12
reuters-topics/grain/article028.txt,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0
reuters-topics/grain/article000.txt,5,3,5,1,6,3,2,2,1,0,2,0,1,1,0,0,2,0,0,2
reuters-topics/grain/article014.txt,14,6,3,1,3,4,2,6,1,0,0,5,4,2,1,2,2,2,0,0
reuters-topics/grain/article148.txt,7,4,1,4,2,3,1,0,1,0,2,0,0,0,2,1,3,0,0,6
reuters-topics/grain/article174.txt,3,6,3,2,4,1,3,0,1,0,14,0,4,0,1,0,0,0,0,11
reuters-topics/grain/article160.txt,8,6,3,6,4,7,3,4,4,0,0,0,2,1,0,0,1,1,1,0
reuters-topics/grain/article389.txt,1,0,0,2,0,0,0,2,0,0,8,1,0,0,0,4,1,0,0,6
reuters-topics/grain/article438.txt,2,0,0,0,2,0,2,1,3,0,0,1,0,0,0,0,0,0,0,0
reuters-topics/grain/article410.txt,1,1,2,2,0,2,0,1,0,0,0,0,0,0,3,0,2,0,0,3
reuters-topics/grain/article376.txt,11,2,6,0,1,0,5,1,1,0,0,0,0,1,0,1,1,1,1,0
reuters-topics/grain/article362.txt,13,9,1,0,0,4,2,3,0,0,0,1,0,3,2,0,2,3,0,0
reuters-topics/grain/article404.txt,6,4,7,4,4,3,1,5,1,0,4,4,0,2,0,0,1,3,3,5
reuters-topics/grain/article363.txt,6,2,1,3,1,4,2,9,0,0,0,7,1,3,0,0,2,2,1,0
reuters-topics/grain/article405.txt,3,0,3,2,0,0,0,1,0,0,6,0,0,0,2,4,0,0,0,4
reuters-topics/grain/article411.txt,8,16,7,8,4,4,2,5,1,0,0,5,0,0,2,0,3,1,1,0
reuters-topics/grain/article377.txt,15,16,8,7,3,0,0,0,0,0,9,0,0,0,20,0,0,0,0,15
reuters-topics/grain/article439.txt,15,6,8,7,5,0,2,1,5,0,3,1,4,1,0,0,0,0,2,0
reuters-topics/grain/article388.txt,1,0,0,3,0,0,0,2,0,0,12,1,0,0,0,6,1,2,0,9
reuters-topics/grain/article161.txt,0,1,3,0,1,2,1,0,1,0,0,0,0,0,3,3,1,0,0,6
reuters-topics/grain/article175.txt,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0
reuters-topics/grain/article149.txt,7,5,1,1,1,3,0,3,3,0,0,3,0,0,2,0,0,0,0,4
reuters-topics/grain/article015.txt,3,0,3,6,4,2,0,1,0,0,7,0,1,0,0,0,0,0,1,1
reuters-topics/grain/article001.txt,5,5,2,5,3,3,2,3,0,2,0,0,0,0,4,0,1,0,0,0
reuters-topics/grain/article029.txt,20,6,9,2,1,4,2,1,4,0,2,0,1,1,0,1,1,1,2,2
reuters-topics/grain/article217.txt,9,5,2,0,5,1,2,0,0,0,0,0,1,0,1,2,1,0,0,0
reuters-topics/grain/article571.txt,41,29,15,7,18,6,7,4,4,0,3,2,6,12,0,2,4,4,6,0
reuters-topics/grain/article565.txt,0,0,2,0,0,1,1,3,3,0,0,3,0,0,0,0,0,0,0,1
reuters-topics/grain/article203.txt,6,7,3,1,3,2,0,4,7,3,8,4,0,0,4,0,0,0,0,0
reuters-topics/grain/article559.txt,0,2,0,0,0,0,0,2,2,0,0,2,0,0,2,0,0,0,0,2
reuters-topics/grain/article229.txt,9,1,3,6,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,6
reuters-topics/grain/article573.txt,5,6,1,0,2,2,1,2,2,0,3,0,0,0,0,0,0,0,1,1
reuters-topics/grain/article215.txt,4,2,4,6,4,2,1,0,5,1,2,0,0,0,1,0,2,0,0,2
reuters-topics/grain/article201.txt,4,4,4,0,1,3,3,1,3,0,0,1,1,0,1,0,1,0,0,2
reuters-topics/grain/article567.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
reuters-topics/grain/article017.txt,2,0,1,4,3,0,0,0,1,5,0,0,0,0,0,1,0,0,0,0
reuters-topics/grain/article003.txt,27,18,8,2,12,11,4,24,4,0,0,22,6,2,4,1,2,4,2,0
reuters-topics/grain/article188.txt,10,6,4,2,1,1,2,0,1,0,0,0,2,0,0,1,0,0,2,0
reuters-topics/grain/article163.txt,3,0,7,1,2,2,2,4,10,0,0,4,1,1,0,13,0,0,0,13
